Time;Обороты двигателя;Абсолютное положение дросселя
0;864;19,607843137254903
0,13;864;19,607843137254903
0,26;839,5;19,607843137254903
0,391;822,5;19,607843137254903
0,52;822,5;19,607843137254903
0,65;837,5;19,607843137254903
0,78;853;20
0,91;853;20
1,043;873,5;21,56862745098039
1,17;1304,5;25,88235294117647
1,301;1304,5;25,88235294117647
1,43;1594;23,137254901960784
1,56;1079;21,56862745098039
1,691;1079;21,56862745098039
1,82;1244,5;24,313725490196077
1,95;1408;23,137254901960784
2,08;1408;23,137254901960784
2,211;1449,5;22,745098039215687
2,34;1449,5;22,745098039215687
2,471;1373,5;22,745098039215687
2,603;1400;23,52941176470588
2,73;1400;23,52941176470588
2,86;1503,5;23,92156862745098
2,99;1507,5;23,52941176470588
3,12;1507,5;23,52941176470588
3,25;1500,5;23,52941176470588
3,38;1529;24,705882352941178
3,511;1529;24,705882352941178
3,64;1597;24,705882352941178
3,77;1691;27,45098039215686
3,9;1691;27,45098039215686
4,031;1793,5;27,45098039215686
4,16;1772;25,49019607843137
4,29;1772;25,49019607843137
4,422;1606;24,705882352941178
4,55;1606;24,705882352941178
4,68;1606;24,705882352941178
4,813;1670,5;25,49019607843137
4,94;1670,5;25,49019607843137
5,078;1736;25,49019607843137
5,2;1789,5;27,058823529411764
5,33;1789,5;27,058823529411764
5,46;1857;27,058823529411764
5,59;1861;26,666666666666668
5,721;1861;26,666666666666668
5,851;1869;25,49019607843137
5,98;1745,5;23,92156862745098
6,111;1745,5;23,92156862745098
6,241;1796;23,92156862745098
6,37;1843,5;29,019607843137255
6,502;1843,5;29,019607843137255
6,631;2348;82,74509803921569
6,76;2728,5;85,88235294117646
6,89;2728,5;85,88235294117646
7,02;2922,5;85,88235294117646
7,15;3080;85,88235294117646
7,28;3080;85,88235294117646
7,41;3183;85,88235294117646
7,54;3183;85,88235294117646
7,67;3342,5;85,88235294117646
7,803;3544;85,88235294117646
7,932;3544;85,88235294117646
8,06;3708,5;85,88235294117646
8,19;3865;85,88235294117646
8,45;4083;85,88235294117646
8,581;4300,5;85,88235294117646
8,71;4300,5;85,88235294117646
8,84;4391,5;85,88235294117646
8,97;4623;85,88235294117646
9,101;4623;85,88235294117646
9,231;4772,5;85,88235294117646
9,36;4966,5;85,88235294117646
9,491;4966,5;85,88235294117646
9,621;5176;85,88235294117646
9,752;5331,5;85,88235294117646
9,881;5331,5;85,88235294117646
10,01;5505,5;85,88235294117646
10,14;5505,5;85,88235294117646
10,271;5690,5;85,88235294117646
10,4;5781,5;85,88235294117646
10,531;5781,5;85,88235294117646
10,661;5058;85,88235294117646
10,79;3884;34,11764705882353
10,92;3884;34,11764705882353
11,051;3176;20,784313725490197
11,18;3013,5;19,607843137254903
11,31;3013,5;19,607843137254903
11,44;2913;19,215686274509803
11,57;2865;19,215686274509803
11,7;2865;19,215686274509803
11,831;2820,5;19,215686274509803
11,96;2743,5;19,215686274509803
12,09;2743,5;19,215686274509803
12,22;2689;19,607843137254903
12,35;2670;19,607843137254903
12,481;2670;19,607843137254903
12,611;2592,5;19,607843137254903
12,74;2592,5;19,607843137254903
12,87;2535;19,215686274509803
13,001;2516,5;19,215686274509803
13,13;2516,5;19,215686274509803
13,261;2465,5;19,215686274509803
13,39;2428,5;19,215686274509803
13,52;2428,5;19,215686274509803
13,65;2384;19,215686274509803
13,911;2344;19,215686274509803
14,041;2299,5;19,215686274509803
14,17;2259,5;18,823529411764707
14,3;2259,5;18,823529411764707
14,431;2221;18,823529411764707
14,561;2173;18,431372549019606
14,691;2173;18,431372549019606
14,822;2119,5;18,431372549019606
14,951;2060,5;18,431372549019606
15,08;2060,5;18,431372549019606
15,21;1968;18,03921568627451
15,341;1968;18,03921568627451
15,472;1869;17,647058823529413
15,6;1740,5;17,254901960784313
15,73;1740,5;17,254901960784313
15,86;1594,5;16,862745098039216
15,99;1428;16,470588235294116
16,12;1428;16,470588235294116
16,25;1252,5;16,07843137254902
16,381;1060,5;15,686274509803921
16,511;1060,5;15,686274509803921
16,64;1033;17,254901960784313
16,771;1070;18,431372549019606
16,9;1070;18,431372549019606
17,03;1023,5;18,823529411764707
17,161;966;19,215686274509803
17,29;966;19,215686274509803
17,421;929;19,607843137254903
17,551;905;19,607843137254903
17,68;905;19,607843137254903
17,81;846;20
17,94;846;20
18,07;808,5;20
18,2;829;21,176470588235293
18,33;829;21,176470588235293
18,46;797,5;21,176470588235293
18,59;811,5;20,784313725490197
18,72;811,5;20,784313725490197
18,851;813;21,176470588235293
18,98;882,5;21,176470588235293
19,11;882,5;21,176470588235293
19,241;824;21,176470588235293
19,373;907;21,176470588235293
19,5;907;21,176470588235293
19,63;809,5;20,392156862745097
